Feature,R2,RMSE,MAE,Correlation,P_value
IGF1R,0.0039244890213012695,0.7219259747759342,0.5998582243919373,0.59047693,0.0001884427192498896
SLC44A2,0.0038357973098754883,0.6581746669695852,0.5620527267456055,0.5396102,0.0008218611504907321
PSMG4,0.003798544406890869,0.3451688592868908,0.26046642661094666,0.30888188,0.0710055455157514
NUDT19,0.0037909746170043945,0.6712535823250482,0.5682178139686584,0.5839303,0.0002309210540806667
NDUFB8,0.0037773847579956055,0.4892123081266843,0.39641204476356506,0.5581695,0.0004935077582676449
CSNK1E,0.003763914108276367,0.5521082212728362,0.44522547721862793,0.644185,2.9695238075206955e-05
NFATC2,0.003722548484802246,0.5187186289114426,0.43458014726638794,0.51871455,0.0014106805907030742
CGAS,0.0036737918853759766,0.3845274909625103,0.31304314732551575,0.14066212,0.42026313822136935
DDR1,0.003631770610809326,0.5871902044699908,0.47393035888671875,0.6634542,1.3991812468680862e-05
SYNE2,0.003538787364959717,0.6853575050963887,0.568847119808197,0.5423359,0.0007639466416290528
EI24,0.003524482250213623,0.6156191394739962,0.4706457555294037,0.50382096,0.0020313489236076054
HLA-C,0.0035205483436584473,1.3469043790440904,1.144528865814209,0.7964159,1.0552197652007246e-08
POR,0.0035170316696166992,0.827410011411758,0.7099789381027222,0.6928137,3.984539937765969e-06
SLC25A10,0.0035095810890197754,0.5989139761601797,0.4996335208415985,0.57790554,0.0002773723622213469
NDUFA7,0.003462851047515869,0.6488883048574586,0.5437167882919312,0.3864656,0.021834217479284657
GTF3C3,0.003453969955444336,0.4303895936386816,0.32753947377204895,0.26868483,0.11859743371274685
PON2,0.0034474730491638184,1.3556503042389352,1.1105707883834839,0.8852525,1.6531949335128266e-12
MRPL2,0.0033640265464782715,0.44981807037864857,0.35489901900291443,0.5095522,0.0017688375065627684
PPOX,0.0033589601516723633,0.5140936102917661,0.4356757402420044,0.28522542,0.09674626843811446
SLC35B2,0.0033272504806518555,0.6388262407597664,0.5488044619560242,0.67603296,8.310609793191316e-06
CEP97,0.00331038236618042,0.43291828019677037,0.34380456805229187,0.48759535,0.0029677370335943745
MCCC1,0.0033066272735595703,0.8076433871723341,0.6888583302497864,0.6197099,7.189659807890855e-05
ANK2,0.003300189971923828,0.5171766919623079,0.4192389249801636,0.5001967,0.002214397081956535
SNAP23,0.0032485127449035645,0.9390185137966008,0.7941455841064453,0.70459425,2.3082784853854917e-06
MRPS31,0.0032455921173095703,0.46414783219843464,0.37344828248023987,0.5552027,0.0005365027817374984
LRPAP1,0.00324094295501709,0.7761505400476074,0.6365448236465454,0.7957923,1.1042880106252193e-08
EGFR,0.0032387375831604004,1.5150244398002755,1.2864044904708862,0.74163145,3.445796656987346e-07
CKAP2,0.0032147765159606934,0.6040294891589109,0.4429519772529602,0.47211275,0.004190725764417404
MRPL54,0.003152608871459961,0.41874857375628005,0.33934512734413147,0.41768426,0.012538440033381872
PLCG1,0.0031443238258361816,0.6118950454576789,0.4736725389957428,0.43682566,0.008697577928306022
CRIP1,0.003124833106994629,1.0084630359954585,0.6719410419464111,0.2159159,0.2128590940432087
MRPS15,0.003108799457550049,0.44608387309829856,0.3556895852088928,0.633036,4.484372688449998e-05
GTF3C4,0.003067910671234131,0.3179455976000557,0.2415168732404709,0.39433217,0.019075301818562432
STAM2,0.003056049346923828,0.64047458092296,0.515003502368927,0.2836934,0.09863058508995723
YBX3,0.003045380115509033,1.0122513124208241,0.8891494274139404,0.63034713,4.9412225866012444e-05
SNIP1,0.0029897689819335938,0.45134200154202025,0.31434059143066406,0.39330494,0.019418159810488573
SSR3,0.002960681915283203,0.6850902851846947,0.5662519335746765,0.7509619,2.0280810971155812e-07
EHD2,0.0029456019401550293,0.7175204499417384,0.5218697786331177,0.2815943,0.10125776834385243
