Feature,R2,RMSE,MAE,Correlation,P_value
EMC2,0.00822913646697998,0.4556205365730255,0.37388309836387634,0.5591976,0.00047933801767251053
ECM1,0.008165955543518066,0.5950702494735793,0.4719562530517578,0.6561331,1.8739253796472253e-05
SUPV3L1,0.008066356182098389,0.5841695944712249,0.4859086573123932,0.73350257,5.371292834859123e-07
CTTN,0.007959902286529541,0.6833707827292615,0.5579200983047485,0.6608602,1.5531799473754194e-05
STX3,0.007713496685028076,0.5719738890400295,0.46019020676612854,0.47218835,0.004183831747739553
HSDL2,0.007623434066772461,0.8151137419474377,0.6896640062332153,0.6471474,2.6540945337505128e-05
LGMN,0.007506430149078369,0.4785934073621001,0.3861715495586395,0.5037681,0.0020339181203860874
RAB35,0.0073891282081604,0.41917045252488916,0.3265434205532074,0.45504725,0.0060219889626267065
TPD52L2,0.007385432720184326,0.6587371697162632,0.5606703758239746,0.513124,0.0016207171723053796
THNSL1,0.00724261999130249,0.46546815560345506,0.3542757034301758,0.3593701,0.03398435376612455
COMT,0.007126212120056152,0.744834556322793,0.5288746356964111,0.6355013,4.099407584767173e-05
ALG1,0.007084846496582031,0.5578910302199561,0.452199786901474,0.72081655,1.0411941245891772e-06
ACAA1,0.007032215595245361,1.1460029071984024,1.0107977390289307,0.88958013,9.063575943739099e-13
SUCLG1,0.006999492645263672,0.750064092122815,0.596289336681366,0.66238356,1.4609761297247216e-05
CTNNA1,0.006965339183807373,1.1543891469669978,0.9959339499473572,0.80340445,6.271629083508686e-09
FAF2,0.0069391727447509766,0.6582676660606177,0.5761283040046692,0.88370454,2.0378159872275486e-12
MYL6,0.006936371326446533,0.778278421497547,0.6665845513343811,0.47406468,0.004015792819939747
POR,0.006914377212524414,0.8259983466688332,0.7084394097328186,0.7090816,1.8619206659867036e-06
LMF2,0.006720602512359619,0.5392499127995859,0.43984219431877136,0.5256988,0.0011821417575395847
MRPS18A,0.006630420684814453,0.4395945003712197,0.34481462836265564,0.6716945,9.974180780248218e-06
SLC25A10,0.006555795669555664,0.597997854504835,0.49704408645629883,0.6532801,2.0954859663836427e-05
RPN2,0.006512463092803955,0.7310300903911213,0.6125309467315674,0.7307334,6.225657681867272e-07
NUDT19,0.006395220756530762,0.6703756369353538,0.5669304728507996,0.6361608,4.001628160813961e-05
TMEM209,0.006336390972137451,0.33283548007125374,0.27559664845466614,0.50767124,0.0018515091269177973
FBXO2,0.006329476833343506,1.0632400179568637,0.863422691822052,0.61306,9.027145628717172e-05
SH3KBP1,0.006208300590515137,0.6117234581855052,0.5003535747528076,0.36638087,0.030408897739118833
MRPL11,0.006151914596557617,0.41151245783283646,0.3390323519706726,0.59540576,0.00016123201784802224
S100A11,0.006143033504486084,1.6412227449965004,1.4093248844146729,0.83388734,4.957868533266198e-10
TST,0.0061092376708984375,1.0112509216568453,0.8515059947967529,0.6788855,7.358931887230296e-06
MRPL55,0.006084322929382324,0.5052180698937851,0.38993850350379944,0.6209443,6.888331547008647e-05
BCL2L13,0.006046175956726074,0.5812816785568086,0.4662080407142639,0.65036196,2.3464022901835977e-05
KDM2A,0.005986511707305908,0.7020912200152728,0.5817142724990845,0.41541567,0.013076521588785424
CTNNB1,0.005895435810089111,1.031513527230909,0.8306493759155273,0.74006534,3.758211007859114e-07
SYNPO,0.00583726167678833,0.6228874504824701,0.48064857721328735,0.66242075,1.4587884867656628e-05
NDUFS4,0.00581204891204834,0.5900668549645142,0.48074328899383545,0.34737986,0.040888617512313076
SINHCAF,0.005778789520263672,0.5352260237824447,0.44162699580192566,0.6574784,1.77703118155534e-05
AARS2,0.005767941474914551,0.40443169377686145,0.34116092324256897,0.31167063,0.06836361265470187
TIMM10,0.00565338134765625,0.4606112926105105,0.37170565128326416,0.3070479,0.07278605683034116
AHNAK,0.005606114864349365,1.8765734746073695,1.7351213693618774,0.838585,3.2048286011591865e-10
RRBP1,0.005598306655883789,1.4052327609454554,1.2388931512832642,0.8653801,1.9773418692387294e-11
NOP14,0.005571901798248291,0.49592749746003095,0.4184708297252655,0.41071254,0.01425422631980066
ELOA,0.005521655082702637,0.40643585062080934,0.3091875910758972,0.54567766,0.0006978942850411414
RAB1A,0.005430638790130615,0.46568136322110626,0.37365129590034485,0.7269074,7.611838504255927e-07
UQCRB,0.005415737628936768,0.6547822205479841,0.5225365161895752,0.72865427,6.947172931048941e-07
SPCS2,0.005404472351074219,0.5134415200668716,0.40431931614875793,0.63635933,3.972614437767369e-05
HEXB,0.0053861141204833984,0.9203307585532281,0.7602724432945251,0.6079101,0.00010729455193238806
S100A10,0.005343198776245117,1.553732880845595,1.3678175210952759,0.8641695,2.2706192560086688e-11
LAMTOR1,0.005304157733917236,0.6792536041183804,0.5430641174316406,0.5988122,0.00014454230597769105
PDCL,0.005241513252258301,0.5378604977439229,0.43190857768058777,0.6733622,9.301852237943718e-06
RCC1L,0.005131840705871582,0.5210473733421942,0.4164498746395111,0.59162736,0.0001817481522331698
TFAM,0.005050241947174072,0.5053539328494848,0.44241517782211304,0.43352282,0.009277716170387078
TAOK3,0.0050255656242370605,0.44818334255543113,0.35743448138237,0.43126652,0.00969268083969873
DNAJC3,0.005009889602661133,0.6462701171606725,0.5050083994865417,0.7017252,2.6428207829254688e-06
ENDOD1,0.0050095319747924805,1.2373188984452999,1.0285894870758057,0.7452485,2.813283457514293e-07
HTATIP2,0.00498199462890625,0.8655671799281383,0.7220340371131897,0.75095093,2.0293724386082198e-07
PTGES2,0.004969775676727295,0.4690673072055237,0.3741680085659027,0.58093035,0.00025310050627128995
LRP1,0.004960775375366211,1.064385480218745,0.8336976766586304,0.60614264,0.00011377050974502468
GNG12,0.0048888325691223145,1.3681503393232395,1.1746346950531006,0.817025,2.1384179168741754e-09
ANXA2,0.004888713359832764,2.4756896589773,2.217047691345215,0.82571197,1.0268142010079229e-09
NDUFS6,0.004866480827331543,0.6672340725226579,0.549407422542572,0.44316667,0.007670035334865857
ITGA3,0.004864156246185303,2.1975352482144115,1.9725921154022217,0.75265396,1.837661800970698e-07
TFB2M,0.004846096038818359,0.5276282496728439,0.41081002354621887,0.559154,0.00047993188037704997
SLC35B2,0.004819691181182861,0.6383477651427123,0.5497696399688721,0.7540348,1.694613240807142e-07
HNRNPF,0.00473707914352417,0.3631786078377256,0.3083380162715912,0.18410434,0.2897351801604743
TIMM29,0.004736721515655518,0.6389145929468661,0.5352861881256104,0.4617472,0.0052343627348819975
RAI14,0.004717230796813965,0.8736387290558094,0.7417195439338684,0.5416147,0.0007789074324484272
ESYT1,0.00464242696762085,1.0224032818443087,0.8413577675819397,0.65659034,1.8404700131272258e-05
BAIAP2,0.004633665084838867,0.6136763205267076,0.4914010167121887,0.51905364,0.0013987461301440507
NDUFA7,0.004616677761077881,0.6485125486767147,0.543349027633667,0.39286682,0.01956593613267224
IMP4,0.00451284646987915,0.4481030083956927,0.37047675251960754,0.2156326,0.21347470220250206
STAT2,0.004423201084136963,0.484322821975416,0.4239595830440521,0.34044108,0.045375548703198085
MRPL30,0.004368484020233154,0.4330137342737198,0.34929391741752625,0.5679401,0.0003727195201751984
AGPS,0.004333794116973877,0.4390458826741945,0.3737609088420868,0.5937614,0.0001698905769180311
NME3,0.0042514801025390625,0.8223692767490152,0.6702172160148621,0.50764936,0.0018524874400005214
TBC1D10A,0.0042435526847839355,0.47737510378392706,0.3874411880970001,0.34733033,0.04091936258415998
DNTTIP1,0.004232227802276611,0.44423471492560984,0.35208070278167725,0.26358098,0.1260331225684871
NDUFB8,0.004191458225250244,0.48911062375551384,0.39644595980644226,0.5859536,0.0002169599507247633
STAM2,0.0041283369064331055,0.6401300611811741,0.5142112374305725,0.26395097,0.1254828488746312
PCK2,0.004087388515472412,0.7651372640543287,0.6689965128898621,0.4556054,0.00595270218209567
S100A6,0.004042685031890869,1.5151974576429248,1.2501353025436401,0.7535755,1.741005814233659e-07
HS2ST1,0.0040100812911987305,0.5854902467835603,0.41454097628593445,0.386046,0.021990222317962625
TM9SF3,0.004009723663330078,0.7466994218865182,0.6219522356987,0.8282325,8.237001118284452e-10
ANXA5,0.003980457782745361,1.052827395715638,0.7865464687347412,0.4325822,0.009448847626838688
CTSD,0.003970205783843994,1.3385440762073881,1.1626611948013306,0.78651416,2.1331724985357934e-08
ZNF281,0.0038862228393554688,0.276070047515026,0.24687312543392181,0.4537251,0.006188888613664505
MRPS15,0.0038856863975524902,0.44591003616760605,0.3561899960041046,0.6918091,4.1694829494644675e-06
ERLIN1,0.003875434398651123,0.8480336979387438,0.7295406460762024,0.790365,1.6295905470174227e-08
SLC25A46,0.0038744211196899414,0.4614170457124086,0.3687661290168762,0.29547447,0.0848378462415431
CTSA,0.0038607120513916016,0.9200583840586417,0.7858050465583801,0.71803993,1.1978068954930694e-06
UQCC3,0.0038316845893859863,0.45909782793091675,0.3680955469608307,0.43931377,0.008281213261724919
PRDX5,0.0038257241249084473,0.6698000382829179,0.4930081367492676,0.3826579,0.02328400828464596
CIB1,0.003818809986114502,0.8838237270912441,0.7302360534667969,0.6586633,1.6954684426834846e-05
POLR2I,0.0038028359413146973,0.40312208425960744,0.3218279182910919,0.37097463,0.02823778629597792
