Feature,R2,RMSE,MAE,Correlation,P_value
PLS1,-2.2530555725097656e-05,0.8963721045044486,0.7102974057197571,-0.5752028,0.00030079546851492187
DHCR24,-2.2649765014648438e-05,0.6502388671147834,0.47614386677742004,0.18907446,0.2766812643888633
TMEM263,-2.3126602172851562e-05,0.7818789430026398,0.5829247832298279,-0.21695566,0.21061069974972607
ETFA,-2.3365020751953125e-05,1.2049629737578833,0.9788456559181213,0.40012655,0.017234435798746867
EMC1,-2.3603439331054688e-05,0.5005081991558744,0.39947935938835144,-0.5245587,0.0012170556641079115
PPP6R1,-2.396106719970703e-05,0.4960902056229499,0.3916477560997009,0.11168483,0.5229899872942102
PPIE,-2.4318695068359375e-05,0.6206792491932566,0.5373741984367371,0.80798143,4.410372689268914e-09
CPSF7,-2.4437904357910156e-05,0.4217344862442517,0.35536521673202515,-0.37274143,0.027437416852822024
HSPH1,-2.47955322265625e-05,1.0153709680800531,0.8226868510246277,0.7043453,2.3357019459103822e-06
SCIN,-2.5033950805664062e-05,0.9988300512934531,0.8088133931159973,0.060203046,0.7311899631335406
PTCD1,-2.5033950805664062e-05,0.4550400746691451,0.34605270624160767,-0.33397883,0.04990225223013522
RCN3,-2.5153160095214844e-05,1.3381208458398999,1.0609947443008423,0.52238095,0.001286285680767023
CENPB,-2.6226043701171875e-05,0.5660010368199506,0.4746931791305542,-0.058534946,0.7383738323869242
CEBPB,-2.7179718017578125e-05,1.1923964591030358,1.002866268157959,0.67111534,1.021779048314897e-05
UBAP2,-2.753734588623047e-05,0.6536016841938517,0.4920194447040558,-0.4309586,0.009750516307423294
HAX1,-2.777576446533203e-05,0.5629412986294317,0.44452860951423645,0.20635724,0.23430506632060202
HCLS1,-2.849102020263672e-05,0.6566872729377938,0.5665460824966431,-0.5626527,0.0004343340627644213
MRPS2,-2.9087066650390625e-05,0.395973327208051,0.3286733329296112,0.58350146,0.0002339809082410041
ARFIP2,-2.9206275939941406e-05,0.4386056824607835,0.33842456340789795,-0.14983507,0.39028075929762873
ASF1A,-2.9206275939941406e-05,0.4608583867343279,0.3780803978443146,-0.5363643,0.0008958603729626011
ZC3H14,-2.9802322387695312e-05,0.30964433525123614,0.2456108033657074,-0.45997745,0.005433261276874115
SCAF11,-2.9802322387695312e-05,0.46121322337905774,0.34442055225372314,-0.5462497,0.0006871104246018228
ROCK2,-3.0040740966796875e-05,0.4485906106964569,0.32239028811454773,0.26481712,0.12420131295067756
DNAJC21,-3.063678741455078e-05,0.46417913287742074,0.37979480624198914,-0.08860554,0.6127461856591417
XPNPEP1,-3.123283386230469e-05,0.6142179297279425,0.4786240756511688,0.4189069,0.012256295435308559
PABPC1L,-3.135204315185547e-05,0.6223723967115236,0.4758710563182831,0.09892417,0.5718163100250696
MOSPD2,-3.147125244140625e-05,0.5974349565895807,0.44468337297439575,0.45970097,0.005464909857194682
DHX30,-3.1948089599609375e-05,0.45032820322795736,0.3607941269874573,-0.084309764,0.6301412857116554
TSC22D4,-3.2067298889160156e-05,0.5582341991021427,0.42912620306015015,-0.3570002,0.03526775085524571
INTS11,-3.3736228942871094e-05,0.40014339350402117,0.32154104113578796,-0.19606587,0.25897612709845697
COA6,-3.409385681152344e-05,0.8830449971261164,0.6967638731002808,-0.48552185,0.003110979849440617
AKAP8,-3.445148468017578e-05,0.3319815093537234,0.27066099643707275,-0.35661235,0.035481527286335975
ZWILCH,-3.4809112548828125e-05,0.39396309308922667,0.2977653443813324,0.24055536,0.16392276812521817
RBM15,-3.516674041748047e-05,0.3503945978762345,0.27200981974601746,-0.35095564,0.038720495153235945
SNAP23,-3.635883331298828e-05,0.9405645509477336,0.7963306903839111,0.7473563,2.49583133210847e-07
MIA3,-3.695487976074219e-05,0.5017437925121071,0.38697975873947144,0.35497394,0.036396119206628955
RPP30,-3.719329833984375e-05,0.31785319756964814,0.24868237972259521,0.011944231,0.9457070375828004
UTP11,-3.802776336669922e-05,0.4766553100514646,0.36309608817100525,-0.1711366,0.32562477565443915
RPL7L1,-3.9458274841308594e-05,0.583904018423355,0.4657089114189148,0.12411666,0.4774741594453138
IDH3G,-4.112720489501953e-05,0.652580994734773,0.5044864416122437,0.14220442,0.4151337543527653
IDE,-4.124641418457031e-05,0.43307364259782494,0.33959245681762695,0.16307062,0.3492791832325717
NOMO1,-4.184246063232422e-05,0.4780394695797508,0.3721277713775635,-0.37476835,0.026542291963242454
ABHD16A,-4.2438507080078125e-05,0.5931428766722129,0.4926350712776184,0.19742906,0.25561333161815947
SFXN3,-4.267692565917969e-05,1.2293541598238418,1.0258992910385132,0.6763774,8.190044593744036e-06
